[9:22:58 AM] [Config] Media Path: E:\Blippi\downloads
[9:22:58 AM] [DB] Initialized.
[9:22:58 AM] [Scheduler] Started — checking every minute for scheduled downloads.
[9:40:47 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:40:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:37 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:47 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:41:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:37 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:47 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:42:57 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:43:07 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:43:17 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
[9:43:27 AM] [TV-API] GET HLS Manifest for hash: 442ed08b05c947584fd4e7980e2c5126 from 192.168.1.6
